alpha,layer,chi_mean,chi_max,trunc_error_sum
0.0,0,2.0,2.0,0.0
0.0,1,4.0,4.0,0.0
0.0,2,7.76,8.0,0.0
0.0,3,15.510204081632653,16.0,0.0
0.0,4,29.84,32.0,0.0
0.0,5,59.59183673469388,64.0,0.0
0.0,6,114.32,128.0,0.0
0.0,7,228.08163265306123,256.0,0.0
0.0,8,398.24,466.0,0.0
0.0,9,742.6734693877551,871.0,4.887580871582031e-06
0.0,10,1420.88,1742.0,0.0
0.0,11,2828.6530612244896,3484.0,0.0
0.5,0,2.0,2.0,0.0
0.5,1,4.0,4.0,0.0
0.5,2,7.76,8.0,0.0
0.5,3,15.510204081632653,16.0,0.0
0.5,4,29.84,32.0,0.0
0.5,5,59.59183673469388,64.0,0.0
0.5,6,114.32,128.0,0.0
0.5,7,228.08163265306123,256.0,0.0
0.5,8,436.88,512.0,0.0
0.5,9,869.8571428571429,1023.0,-4.887580871582031e-06
0.5,10,1664.08,2046.0,0.0
0.5,11,3312.5714285714284,4092.0,0.0
0.0,0,2.0,2.0,0.0
0.0,1,4.0,4.0,0.0
0.0,2,7.76,8.0,0.0
0.0,3,15.510204081632653,16.0,0.0
0.0,4,21.56,23.0,0.0
0.0,5,43.06122448979592,46.0,0.0
0.0,6,82.62,92.0,-1.1920928955078125e-07
0.0,7,164.85714285714286,184.0,0.0
0.0,8,297.3,346.0,0.0
0.0,9,591.3673469387755,692.0,5.960464477539063e-08
0.0,10,229.08,512.0,4.76837158203125e-06
0.0,11,437.38775510204084,512.0,2.384185791015625e-07
0.0,12,833.88,1024.0,-1.1920928955078125e-07
