alpha,layer,chi_mean,chi_max,trunc_error_sum
0.0,0,2.0,2.0,0.0
0.0,1,4.0,4.0,0.0
0.0,2,6.444444444444445,7.0,1.33514404296875e-05
0.0,3,10.176470588235293,11.0,8.940696716308594e-06
0.0,4,15.11111111111111,18.0,8.344650268554688e-06
0.0,5,23.764705882352942,28.0,5.424022674560547e-06
0.0,6,31.833333333333332,41.0,1.2874603271484375e-05
0.0,7,45.76470588235294,58.0,1.1086463928222656e-05
0.0,8,54.27777777777778,75.0,8.285045623779297e-06
0.0,9,69.88235294117646,94.0,1.2040138244628906e-05
0.0,10,79.94444444444444,117.0,1.1980533599853516e-05
0.0,11,112.41176470588235,162.0,1.2814998626708984e-05
0.0,12,127.27777777777777,201.0,1.329183578491211e-05
0.0,13,181.94117647058823,286.0,1.0132789611816406e-05
0.0,14,201.61111111111111,346.0,9.834766387939453e-06
0.0,15,283.1764705882353,481.0,9.417533874511719e-06
0.0,16,291.8888888888889,512.0,2.6166439056396484e-05
0.0,17,309.7647058823529,512.0,5.507469177246094e-05
0.0,18,295.6111111111111,512.0,0.00010955333709716797
0.0,19,310.6470588235294,512.0,0.0001869797706604004
0.0,20,299.44444444444446,512.0,0.00026607513427734375
0.0,21,310.7647058823529,512.0,0.0003109574317932129
0.0,22,301.22222222222223,512.0,0.0006529092788696289
0.0,23,310.47058823529414,512.0,0.0009630918502807617
0.0,24,300.55555555555554,512.0,0.0005437731742858887
0.0,25,310.8235294117647,512.0,0.0024316906929016113
0.0,26,301.8888888888889,512.0,0.0014949440956115723
0.0,27,310.7647058823529,512.0,0.004088282585144043
0.0,28,302.1666666666667,512.0,0.002989053726196289
0.0,29,311.05882352941177,512.0,0.003445267677307129
0.0,30,302.8333333333333,512.0,0.004251420497894287
0.0,31,311.05882352941177,512.0,0.004828989505767822
0.5,0,2.0,2.0,0.0
0.5,1,4.0,4.0,0.0
0.5,2,7.333333333333333,8.0,0.0
0.5,3,14.588235294117647,16.0,0.0
0.5,4,26.0,32.0,0.0
0.5,5,51.294117647058826,64.0,0.0
0.5,6,90.0,128.0,0.0
0.5,7,175.52941176470588,256.0,0.0
0.5,8,301.6666666666667,509.0,1.0132789611816406e-05
0.5,9,311.05882352941177,512.0,0.07344156503677368
0.5,10,303.3333333333333,512.0,0.30911874771118164
0.5,11,311.05882352941177,512.0,0.5364512801170349
0.5,12,303.3333333333333,512.0,0.8154619932174683
0.5,13,311.05882352941177,512.0,1.1258978247642517
0.5,14,303.3333333333333,512.0,0.6305466890335083
0.5,15,311.05882352941177,512.0,0.8074260354042053
0.5,16,303.3333333333333,512.0,0.4714237451553345
0.5,17,311.05882352941177,512.0,0.6488955616950989
0.5,18,303.3333333333333,512.0,0.8582482933998108
0.5,19,311.05882352941177,512.0,0.9318565130233765
0.5,20,303.3333333333333,512.0,0.6998286247253418
0.5,21,311.05882352941177,512.0,0.9517061114311218
0.5,22,303.3333333333333,512.0,0.6401677131652832
0.5,23,311.05882352941177,512.0,0.7155171632766724
0.5,24,303.3333333333333,512.0,1.0408283472061157
0.5,25,311.05882352941177,512.0,0.927388608455658
0.5,26,303.3333333333333,512.0,0.9523261189460754
0.5,27,311.05882352941177,512.0,1.0249830484390259
0.5,28,303.3333333333333,512.0,0.7195666432380676
0.5,29,311.05882352941177,512.0,0.9384735226631165
0.5,30,303.3333333333333,512.0,0.6553329825401306
0.5,31,311.05882352941177,512.0,0.9863064885139465
1.0,0,2.0,2.0,0.0
1.0,1,4.0,4.0,0.0
1.0,2,7.333333333333333,8.0,0.0
1.0,3,14.588235294117647,16.0,0.0
1.0,4,26.0,32.0,0.0
1.0,5,51.294117647058826,64.0,0.0
1.0,6,90.0,128.0,0.0
1.0,7,175.52941176470588,256.0,0.0
1.0,8,303.3333333333333,512.0,0.0
1.0,9,311.05882352941177,512.0,0.1432417631149292
1.0,10,303.3333333333333,512.0,0.5381021499633789
1.0,11,311.05882352941177,512.0,0.5484156608581543
1.0,12,303.3333333333333,512.0,0.449626088142395
1.0,13,311.05882352941177,512.0,0.6936126351356506
1.0,14,303.3333333333333,512.0,0.4964141249656677
1.0,15,311.05882352941177,512.0,0.3546662926673889
1.0,16,303.3333333333333,512.0,0.8702711462974548
1.0,17,311.05882352941177,512.0,1.2617255449295044
1.0,18,303.3333333333333,512.0,0.9612048864364624
1.0,19,311.05882352941177,512.0,0.898846447467804
1.0,20,303.3333333333333,512.0,0.743701159954071
1.0,21,311.05882352941177,512.0,1.0876016020774841
1.0,22,303.3333333333333,512.0,0.5899577140808105
1.0,23,311.05882352941177,512.0,1.2275248169898987
1.0,24,303.3333333333333,512.0,0.6098742485046387
1.0,25,311.05882352941177,512.0,1.0646867752075195
1.0,26,303.3333333333333,512.0,1.1772704124450684
1.0,27,311.05882352941177,512.0,0.984494149684906
1.0,28,303.3333333333333,512.0,0.8004131317138672
1.0,29,311.05882352941177,512.0,0.7264835834503174
1.0,30,303.3333333333333,512.0,0.5922431349754333
1.0,31,311.05882352941177,512.0,1.019391119480133
0.0,0,2.0,2.0,0.0
0.0,1,2.0,2.0,0.0
0.0,2,3.7777777777777777,4.0,0.0
0.0,3,7.529411764705882,8.0,0.0
0.0,4,12.0,14.0,5.0067901611328125e-06
0.0,5,19.176470588235293,22.0,1.3172626495361328e-05
0.0,6,26.38888888888889,33.0,1.5914440155029297e-05
0.0,7,40.23529411764706,50.0,9.5367431640625e-06
0.0,8,49.888888888888886,68.0,1.0609626770019531e-05
0.0,9,71.05882352941177,96.0,1.2159347534179688e-05
0.0,10,83.38888888888889,122.0,1.1026859283447266e-05
0.0,11,120.6470588235294,174.0,1.0371208190917969e-05
0.0,12,140.83333333333334,226.0,8.463859558105469e-06
0.0,13,185.41176470588235,286.0,6.556510925292969e-06
0.0,14,231.77777777777777,406.0,9.179115295410156e-06
0.0,15,292.29411764705884,496.0,8.881092071533203e-06
0.0,16,291.5,512.0,2.0265579223632812e-05
0.0,17,310.47058823529414,512.0,9.590387344360352e-05
