step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,route_frac,mixer_depth
0,train,10.54486083984375,37981.741630965786,777.2528825533901,1332.783203125,0.6587302684783936,0.1,1
50,train,7.17540075264725,1306.8837331747795,5882.722052218032,1370.56884765625,4.438761472702026,0.1,1
100,train,6.830091608632909,925.2755718268543,5798.45361580069,1370.56884765625,8.918239831924438,0.1,1
150,train,6.711937228575447,822.1618130774341,5972.297926783837,1370.56884765625,12.945101022720337,0.1,1
200,train,6.637377060467924,763.0908246722713,6007.372295567626,1370.56884765625,17.130950927734375,0.1,1
250,train,6.594118680612024,730.7845482072088,5922.474202302638,1370.56884765625,21.699039220809937,0.1,1
300,train,6.563894525318843,709.0276506789493,5888.569602630589,1370.56884765625,26.17138123512268,0.1,1
350,train,6.536314380134952,689.7397690400325,5976.281571293809,1370.56884765625,30.07087230682373,0.1,1
400,train,6.517634256224977,676.9749401665184,6014.302624047964,1370.56884765625,34.13729119300842,0.1,1
450,train,6.504893453052461,668.4044491065966,6072.404916608718,1370.56884765625,38.02644968032837,0.1,1
500,train,6.4948597677691495,661.7314227293023,6159.648533499864,1370.56884765625,41.64393448829651,0.1,1
550,train,6.4844519343436735,654.8799486571354,6232.543658282279,1370.56884765625,45.26434397697449,0.1,1
600,train,6.476830382513723,649.9077193068047,6297.908699814548,1370.56884765625,48.85939359664917,0.1,1
650,train,6.471489975163098,646.4461985377335,6356.182607522237,1370.56884765625,52.439022064208984,0.1,1
700,train,6.46641227352126,643.1720572052456,6401.1507467761685,1370.56884765625,56.069918394088745,0.1,1
750,train,6.459885126106272,638.9876493540218,6442.097417820399,1370.56884765625,59.68739295005798,0.1,1
800,train,6.451991320549325,633.9634611680186,6479.452329747452,1370.56884765625,63.294238328933716,0.1,1
850,train,6.447382291531591,631.0482285359341,6509.374434488063,1370.56884765625,66.93607878684998,0.1,1
900,train,6.444842307866612,629.4474102304541,6538.984896665714,1370.56884765625,70.5479531288147,0.1,1
950,train,6.440847172220673,626.9376991009427,6567.096169473511,1370.56884765625,74.14418601989746,0.1,1
1000,train,6.437458577570501,624.8168567347199,6593.383848142141,1370.56884765625,77.7312548160553,0.1,1
1050,train,6.434606435977199,623.0373295275406,6615.746818750007,1370.56884765625,81.33805823326111,0.1,1
1100,train,6.431014747862162,620.8035876093156,6636.7512401259255,1370.56884765625,84.93794322013855,0.1,1
1150,train,6.427605911506766,618.690972595489,6656.586746670008,1370.56884765625,88.53065729141235,0.1,1
1200,train,6.423786334848523,616.33234234995,6674.427167926717,1370.56884765625,92.129554271698,0.1,1
1250,train,6.421258950786148,614.7766006173292,6689.975513856591,1370.56884765625,95.74205446243286,0.1,1
1300,train,6.419060669707665,613.4266331962534,6705.8414269464565,1370.56884765625,99.33309745788574,0.1,1
1350,train,6.417329579260859,612.3656548014434,6719.2250341135095,1370.56884765625,102.9452052116394,0.1,1
1400,train,6.414378805385157,610.5613655588305,6731.681578231569,1370.56884765625,106.55762481689453,0.1,1
1450,train,6.412294516638999,609.29010467336,6742.990817334793,1370.56884765625,110.17544293403625,0.1,1
1500,train,6.41042515565998,608.1521854490512,6749.427850422052,1370.56884765625,113.86328101158142,0.1,1
1550,train,6.409223407718307,607.4217787822224,6758.641529575549,1370.56884765625,117.49580097198486,0.1,1
1600,train,6.4075369206463675,606.3982331459339,6767.717046309991,1370.56884765625,121.12090301513672,0.1,1
1650,train,6.405217386172946,604.9933015630551,6776.178921501651,1370.56884765625,124.74759149551392,0.1,1
1700,train,6.402962444110312,603.6306136882645,6780.494619939422,1370.56884765625,128.44372701644897,0.1,1
1750,train,6.400438232465446,602.1088437067641,6783.469266921236,1370.56884765625,132.16128277778625,0.1,1
1800,train,6.399110584375529,601.3099854691432,6785.692037628995,1370.56884765625,135.89063501358032,0.1,1
1850,train,6.397244363266478,600.1888545456632,6787.929781193346,1370.56884765625,139.61723685264587,0.1,1
1900,train,6.395784955975383,599.3135734064964,6792.244474203111,1370.56884765625,143.29755115509033,0.1,1
1950,train,6.394997841636075,598.8420307024833,6799.158375086253,1370.56884765625,146.91700720787048,0.1,1
2000,train,6.393583301542283,597.9955434764134,6806.342591145993,1370.56884765625,150.52313137054443,0.1,1
2050,train,6.392140665151967,597.1334753191061,6812.336625869904,1370.56884765625,154.14857745170593,0.1,1
2100,train,6.390567999235622,596.1951219065787,6815.833621953316,1370.56884765625,157.82544875144958,0.1,1
2150,train,6.388652737669366,595.0543450953118,6816.637591535885,1370.56884765625,161.5623517036438,0.1,1
2200,train,6.387159254809825,594.1663049318619,6817.811388991614,1370.56884765625,165.28940677642822,0.1,1
2250,train,6.385618153067496,593.2513394126621,6818.844810027141,1370.56884765625,169.01865816116333,0.1,1
2300,train,6.38451648100414,592.5981308623543,6821.301851085048,1370.56884765625,172.71072673797607,0.1,1
2350,train,6.382413746498332,591.3533634908088,6825.251872459267,1370.56884765625,176.36155009269714,0.1,1
2400,train,6.381392248964766,590.7496059094766,6828.677233865233,1370.56884765625,180.0219805240631,0.1,1
2450,train,6.380202453314456,590.0471525687745,6830.047211592868,1370.56884765625,183.73401546478271,0.1,1
2500,train,6.37877952685503,589.208155919902,6833.6708715035775,1370.56884765625,187.3827440738678,0.1,1
2550,train,6.377828908312419,588.6483098636081,6838.21189162085,1370.56884765625,191.00197839736938,0.1,1
2600,train,6.376524327214706,587.8808711072509,6843.387460900832,1370.56884765625,194.59836339950562,0.1,1
2650,train,6.375434980532755,587.2408137164202,6846.631185827503,1370.56884765625,198.24523377418518,0.1,1
2700,train,6.374451440601427,586.6635228676624,6847.605031459588,1370.56884765625,201.9555733203888,0.1,1
2750,train,6.373713605319834,586.2308214728749,6848.335278726232,1370.56884765625,205.67217326164246,0.1,1
2800,train,6.373501130403343,586.1062753599693,6849.290250793994,1370.56884765625,209.38111066818237,0.1,1
2850,train,6.372104761183199,585.2884257402314,6853.244910071875,1370.56884765625,212.99574422836304,0.1,1
2900,train,6.370801617301197,584.5262074569332,6858.028930134354,1370.56884765625,216.58001375198364,0.1,1
2950,train,6.369145112536956,583.5587385391216,6859.870931032849,1370.56884765625,220.2537066936493,0.1,1
3000,val,6.249763488769531,517.8903233048263,20626.86601800002,1370.56884765625,0.024821996688842773,0.1,1
3050,val,6.331304924160826,561.8893386345229,28252.019567682575,1370.56884765625,0.9242525100708008,0.1,1
3100,val,6.325084327471139,558.4049005527334,28930.57122872315,1370.56884765625,1.7874517440795898,0.1,1
3150,val,6.329991902736639,561.1520500386597,28810.48870214389,1370.56884765625,2.683467149734497,0.1,1
3200,val,6.327831296920777,559.9409305028669,28871.322968707147,1370.56884765625,3.546772003173828,0.1,1
