alpha,layer,chi_mean,chi_max,trunc_error_sum
0.0,0,2.0,2.0,0.0
0.0,1,4.0,4.0,0.0
0.0,2,4.88,5.0,0.0037565231323242188
0.0,3,6.877551020408164,7.0,0.002557694911956787
0.0,4,8.66,9.0,0.0032323598861694336
0.0,5,11.63265306122449,12.0,0.00237959623336792
0.0,6,14.16,15.0,0.003155529499053955
0.0,7,16.26530612244898,17.0,0.0035372376441955566
0.0,8,19.64,21.0,0.0043909549713134766
0.0,9,24.612244897959183,26.0,0.004211366176605225
0.0,10,29.52,32.0,0.004239141941070557
0.0,11,36.36734693877551,39.0,0.003927290439605713
0.0,12,42.72,47.0,0.004389524459838867
0.0,13,54.265306122448976,59.0,0.004277944564819336
0.0,14,66.18,74.0,0.004294216632843018
0.0,15,74.48979591836735,82.0,0.004234433174133301
0.0,16,90.24,102.0,0.004452705383300781
0.0,17,101.48979591836735,113.0,0.004460453987121582
0.0,18,127.36,146.0,0.004203677177429199
0.0,19,146.83673469387756,166.0,0.004338264465332031
0.5,0,2.0,2.0,0.0
0.5,1,4.0,4.0,0.0
0.5,2,7.76,8.0,0.0
0.5,3,15.510204081632653,16.0,0.0
0.5,4,29.84,32.0,0.0
0.5,5,57.755102040816325,62.0,0.003210604190826416
0.5,6,105.52,118.0,0.004266977310180664
0.5,7,201.75510204081633,226.0,0.003900885581970215
0.5,8,355.4,415.0,0.004115581512451172
0.5,9,648.0816326530612,758.0,0.0041084885597229
0.5,10,845.66,1024.0,0.01862502098083496
0.5,11,868.2857142857143,1024.0,0.4098234176635742
0.5,12,846.4,1024.0,0.4149397611618042
0.5,13,870.0,1024.0,0.5639850497245789
0.5,14,846.48,1024.0,1.3519634008407593
0.5,15,870.530612244898,1024.0,1.5167158246040344
0.5,16,846.48,1024.0,2.445147395133972
0.5,17,870.5714285714286,1024.0,1.3868938088417053
0.5,18,846.48,1024.0,1.896774411201477
0.5,19,870.6122448979592,1024.0,3.1088234782218933
