step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.527551651000977,37329.96562253314,54.61401389736963,2416.62060546875,74.99906539916992
50,train,6.9741344077914365,1068.6317894717727,2638.70334297691,2847.96826171875,79.16615581512451
100,train,6.664523757330262,784.0899589529159,4982.632249698908,2847.96826171875,83.02760052680969
150,val,6.334003448486328,563.4076583730713,131.3662249847708,2847.96826171875,31.18000841140747
180,val,6.342969195048014,568.4817411291674,3866.13551271217,2847.96826171875,31.783676385879517
200,train,6.328822158631825,560.4960294991048,50525.56664732625,2847.96826171875,1.702425241470337
250,train,6.318791926746637,554.9022248287223,51870.66145543521,2847.96826171875,5.606560468673706
300,train,6.322226453418574,556.8113278762384,52288.06014126018,2847.96826171875,9.478569269180298
350,val,6.323257923126221,557.3859581997557,242083.15548180472,2847.96826171875,0.3553159236907959
360,val,6.33422524134318,563.5326320258135,235913.9770346019,2847.96826171875,0.5208678245544434
400,train,6.324714067505627,558.1981838453353,52364.66781242663,2847.96826171875,3.207047939300537
450,train,6.322866277380304,557.167703102523,52594.11434296066,2847.96826171875,7.087028741836548
500,train,6.320916290824295,556.0822921843146,52709.82052034322,2847.96826171875,10.956895589828491
540,val,6.312115224202474,551.2096485665138,236208.7138122195,2847.96826171875,0.5202178955078125
