step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.534512519836426,37590.72110634419,2648.461900822363,34351.34033203125,3.093116044998169
50,train,6.8809537607080795,973.5544551175694,4867.753905637929,34828.75439453125,85.82849669456482
100,val,6.301074028015137,545.1571098178385,19467.119449477454,34829.50439453125,0.42081212997436523
120,val,6.31891393661499,554.969932506541,19112.10277450217,34829.50439453125,8.572578430175781
150,train,6.309710164223948,549.8855492084066,4797.128653745147,34829.50439453125,52.938334226608276
200,train,6.308002524905735,548.9473443098341,4819.155445854907,34829.75439453125,137.69051599502563
240,val,6.299256086349487,544.1669462960369,18862.989187296527,34829.75439453125,8.685791969299316
250,train,6.31888350573453,554.9530445398252,4825.470410318506,34829.75439453125,18.674241542816162
300,train,6.316689436552955,553.7367739464128,4823.887380193942,34830.50439453125,103.59114146232605
350,val,6.290285890752619,539.3074900712222,18881.195335635835,34830.50439453125,4.772579193115234
360,val,6.303295922279358,546.3697379401004,18882.164787434584,34830.50439453125,8.676971197128296
