step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.54582691192627,38018.45246099977,5101.410361851018,8367.21240234375,1.605830430984497
50,train,6.942312670689003,1035.1614363530498,21958.742581969604,8827.15380859375,19.026226043701172
100,val,6.367459297180176,582.5757950195405,90596.7894531456,8827.90380859375,0.0904226303100586
120,val,6.313724875450134,552.0976183341478,87715.60721182995,8827.90380859375,1.8678545951843262
150,train,6.308328905413227,549.1265392639358,23374.96269115469,8827.90380859375,10.864274024963379
200,train,6.31029705942413,550.2083691193483,23394.348751995596,8827.90380859375,28.363773107528687
240,val,6.313987350463867,552.2425491836331,90132.26109752078,8827.90380859375,1.8177731037139893
250,train,6.294168255545876,541.4053481735921,23480.054477918293,8827.90380859375,3.837810516357422
300,train,6.316925924332415,553.8677414119811,23496.1105774422,8827.90380859375,21.267860412597656
350,val,6.33118300004439,561.8208349495851,90881.555407008,8827.90380859375,0.9915323257446289
360,val,6.324012351036072,557.8066243843838,89036.86018813196,8827.90380859375,1.8401367664337158
