alpha,layer,chi_mean,chi_max,trunc_error_sum
0.0,0,2.0,2.0,0.0
0.0,1,4.0,4.0,0.0
0.0,2,6.444444444444445,7.0,3.814697265625e-06
0.0,3,7.529411764705882,8.0,0.0
0.0,4,12.0,14.0,1.0848045349121094e-05
0.0,5,14.294117647058824,16.0,5.960464477539062e-07
0.0,6,20.38888888888889,25.0,9.655952453613281e-06
0.0,7,32.705882352941174,40.0,8.881092071533203e-06
0.0,8,45.111111111111114,61.0,1.0073184967041016e-05
0.0,9,67.6470588235294,91.0,1.0013580322265625e-05
0.0,10,70.5,103.0,1.2278556823730469e-05
0.0,11,101.76470588235294,144.0,1.2516975402832031e-05
0.0,12,131.44444444444446,220.0,1.436471939086914e-05
0.0,13,184.94117647058823,286.0,8.225440979003906e-06
0.0,14,219.22222222222223,391.0,1.0371208190917969e-05
0.0,15,287.29411764705884,481.0,9.834766387939453e-06
0.5,0,2.0,2.0,0.0
0.5,1,4.0,4.0,0.0
0.5,2,7.333333333333333,8.0,0.0
0.5,3,14.588235294117647,16.0,0.0
0.5,4,26.0,32.0,0.0
0.5,5,51.294117647058826,64.0,0.0
0.5,6,90.0,128.0,0.0
0.5,7,175.52941176470588,256.0,0.0
0.5,8,303.3333333333333,512.0,0.0
0.5,9,311.05882352941177,512.0,0.17186039686203003
0.5,10,303.3333333333333,512.0,0.11510229110717773
0.5,11,311.05882352941177,512.0,0.3434387445449829
0.5,12,303.3333333333333,512.0,0.5009499788284302
0.5,13,311.05882352941177,512.0,0.7722344994544983
0.5,14,303.3333333333333,512.0,0.4102054834365845
0.5,15,311.05882352941177,512.0,0.7667065262794495
1.0,0,2.0,2.0,0.0
1.0,1,4.0,4.0,0.0
1.0,2,7.333333333333333,8.0,0.0
1.0,3,14.588235294117647,16.0,0.0
1.0,4,26.0,32.0,0.0
1.0,5,51.294117647058826,64.0,0.0
1.0,6,90.0,128.0,0.0
1.0,7,175.52941176470588,256.0,0.0
1.0,8,303.3333333333333,512.0,0.0
1.0,9,311.05882352941177,512.0,0.3282337188720703
1.0,10,303.3333333333333,512.0,0.40923261642456055
1.0,11,311.05882352941177,512.0,0.25377172231674194
1.0,12,303.3333333333333,512.0,0.1798146367073059
1.0,13,311.05882352941177,512.0,0.5332551598548889
1.0,14,303.3333333333333,512.0,0.5038331151008606
1.0,15,311.05882352941177,512.0,0.8241347670555115
