step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,pair_frac,mixer_depth,attn_rank
0,train,10.459991455078125,34891.25330261672,805.8096968819149,1106.73046875,0.6353857517242432,0.05,0,256
50,train,7.208516102211148,1350.8862022960175,9240.888118189094,1139.25830078125,2.825702428817749,0.05,0,256
100,train,6.842083222795241,936.4379129614225,10365.408352480714,1139.25830078125,4.988901376724243,0.05,0,256
150,train,6.71048043105776,820.9649617856699,10817.383057818735,1139.25830078125,7.14701509475708,0.05,0,256
200,train,6.64316357664801,767.5192623324738,11046.541695067139,1139.25830078125,9.316218852996826,0.05,0,256
250,train,6.594453294913607,731.0291200847564,11198.413886024688,1139.25830078125,11.475910902023315,0.05,0,256
300,train,6.562844767522971,708.2837339096898,11301.7860689655,1139.25830078125,13.636074781417847,0.05,0,256
350,train,6.540857070531601,692.8801708010465,11383.573034179937,1139.25830078125,15.786958932876587,0.05,0,256
400,train,6.522668234427968,680.391409260054,11441.530604021382,1139.25830078125,17.9444522857666,0.05,0,256
450,train,6.510124878978518,671.9103198265678,11487.244699208615,1139.25830078125,20.101600170135498,0.05,0,256
500,train,6.499895640238078,665.0722226437824,11525.36401372375,1139.25830078125,22.256303548812866,0.05,0,256
550,train,6.490111113892709,658.5965383748605,11548.967993721415,1139.25830078125,24.4274640083313,0.05,0,256
600,train,6.48365592956543,654.3588685074868,11546.545075905045,1139.25830078125,26.64970326423645,0.05,0,256
650,train,6.478532474711194,651.0148641289009,11525.707686243779,1139.25830078125,28.919005155563354,0.05,0,256
700,train,6.469077644946742,644.8886362723423,11499.657273942536,1139.25830078125,31.21066927909851,0.05,0,256
750,train,6.46538662815221,642.51272893956,11411.029386049966,1139.25830078125,33.6965217590332,0.05,0,256
800,train,6.459226051073395,638.5666472992272,11278.654836264694,1139.25830078125,36.361783027648926,0.05,0,256
850,train,6.454929120952459,635.8286577259183,11162.717583160771,1139.25830078125,39.0327889919281,0.05,0,256
900,train,6.448791897654137,631.9383852202618,11061.995101371747,1139.25830078125,41.702423095703125,0.05,0,256
950,train,6.443977410108885,628.9032379373591,10971.555679900923,1139.25830078125,44.379485845565796,0.05,0,256
1000,train,6.4421669162594,627.765642608568,10893.734846421594,1139.25830078125,47.04649114608765,0.05,0,256
1050,train,6.436136133210303,623.9911173239293,10822.462198278663,1139.25830078125,49.72177219390869,0.05,0,256
1100,train,6.432921919792376,621.9886965297972,10758.72124093998,1139.25830078125,52.39581799507141,0.05,0,256
1150,train,6.431297139848034,620.9789223226512,10702.401442321754,1139.25830078125,55.06352972984314,0.05,0,256
1200,train,6.4287509695874165,619.3998154487533,10652.10565002008,1139.25830078125,57.726802587509155,0.05,0,256
1250,train,6.4276378686479525,618.7107445061764,10604.780243849049,1139.25830078125,60.398422718048096,0.05,0,256
1300,train,6.426256927501963,617.856931050373,10563.077687467907,1139.25830078125,63.06040906906128,0.05,0,256
1350,train,6.423544045821726,616.1830298756558,10525.034992350817,1139.25830078125,65.72063660621643,0.05,0,256
1400,train,6.42029344040015,614.1833138827055,10493.700400368405,1139.25830078125,68.35643982887268,0.05,0,256
1450,train,6.416784149790369,612.0317435973823,10467.028984276152,1139.25830078125,70.97639656066895,0.05,0,256
1500,train,6.41489627566201,610.8773946784881,10441.665135846672,1139.25830078125,73.60052156448364,0.05,0,256
1550,train,6.412008747910008,609.1160134906531,10418.359245929785,1139.25830078125,76.22236680984497,0.05,0,256
1600,train,6.409831540871977,607.791284447096,10396.607887529484,1139.25830078125,78.84417772293091,0.05,0,256
1650,train,6.4076886353241465,606.4902396376725,10376.22098204543,1139.25830078125,81.46626806259155,0.05,0,256
1700,train,6.4039822701213645,604.2465258974358,10357.399292724025,1139.25830078125,84.08597326278687,0.05,0,256
1750,train,6.4029773753551265,603.6396267120228,10340.631212375503,1139.25830078125,86.69799566268921,0.05,0,256
1800,train,6.4005232328576955,602.1600253698558,10323.1133548039,1139.25830078125,89.32499027252197,0.05,0,256
