step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s,route_frac,mixer_depth
0,train,10.542739868164062,37901.26880308315,830.2813343215593,1332.791015625,0.6166584491729736,0.15,2
50,train,7.198574888939951,1337.5232863048018,8608.808476183118,1398.18603515625,3.033172369003296,0.15,2
100,train,6.847371431860593,941.4031093491243,9485.752116589952,1398.18603515625,5.451544523239136,0.15,2
150,train,6.7160201167428735,825.5254698603248,9830.85697488428,1398.18603515625,7.864217758178711,0.15,2
200,train,6.6463598564489565,769.976393394817,10009.01677484078,1398.18603515625,10.281929016113281,0.15,2
250,train,6.610007206282293,742.4883692781323,10116.4830218176,1398.18603515625,12.703228950500488,0.15,2
300,train,6.573801566596047,716.0869274153189,10192.816237733769,1398.18603515625,15.119668245315552,0.15,2
350,train,6.547383876268001,697.4172553027113,10244.375561234894,1398.18603515625,17.54250407218933,0.15,2
400,train,6.52877251584631,684.5574121877167,10280.999055568409,1398.18603515625,19.970043659210205,0.15,2
450,train,6.509685068067056,671.6148713118871,10313.059508661147,1398.18603515625,22.390251874923706,0.15,2
500,train,6.499749417790396,664.9749812651113,10342.479909929649,1398.18603515625,24.801788568496704,0.15,2
550,train,6.491614364236323,659.5873183560718,10363.121113232359,1398.18603515625,27.222686767578125,0.15,2
600,train,6.4813218330979945,652.8333128736795,10379.823142884607,1398.18603515625,29.645206451416016,0.15,2
650,train,6.474367988457511,648.30935910565,10395.587064965473,1398.18603515625,32.062835693359375,0.15,2
700,train,6.46845453237841,644.4869232271282,10408.02956748539,1398.18603515625,34.48414492607117,0.15,2
750,train,6.4608848155259135,639.6267579481864,10419.468168828207,1398.18603515625,36.90322709083557,0.15,2
800,train,6.456007458595152,636.5146655093804,10431.070146346121,1398.18603515625,39.31638789176941,0.15,2
850,train,6.452772360150599,634.4588051534046,10438.235354936147,1398.18603515625,41.74192142486572,0.15,2
900,train,6.446465476371604,630.4699390861036,10443.015267425988,1398.18603515625,44.1742148399353,0.15,2
950,train,6.44215677664483,627.7592773391823,10450.337095580047,1398.18603515625,46.59294676780701,0.15,2
1000,train,6.436909120161455,624.4736407833985,10453.579688879889,1398.18603515625,49.02741599082947,0.15,2
1050,train,6.432618381634539,621.7999278773509,10457.14598252154,1398.18603515625,51.4587824344635,0.15,2
1100,train,6.42864804696647,619.3360684768923,10352.78337611257,1398.18603515625,54.450284481048584,0.15,2
1150,train,6.42459511777611,616.8310230612016,10167.31393641838,1398.18603515625,57.961424589157104,0.15,2
1200,train,6.420598478738116,614.3706919172678,10002.065548092767,1398.18603515625,61.478501319885254,0.15,2
1250,train,6.4166221374706875,611.9325949467516,9856.61016427616,1398.18603515625,64.982990026474,0.15,2
1300,train,6.413908277448556,610.274146956813,9727.172768035103,1398.18603515625,68.47950744628906,0.15,2
1350,train,6.411844606491304,609.0160405291198,9609.437118247051,1398.18603515625,71.98257207870483,0.15,2
1400,train,6.408691562813235,607.0988104960791,9502.31232944573,1398.18603515625,75.4881522655487,0.15,2
1450,train,6.40732068509418,606.2671224650502,9404.269115061248,1398.18603515625,78.99731397628784,0.15,2
1500,train,6.405247673680193,605.0116255795537,9314.634665219559,1398.18603515625,82.50586605072021,0.15,2
1550,train,6.402752835084976,603.5041005232803,9232.26629950705,1398.18603515625,86.01484990119934,0.15,2
1600,train,6.401738394952282,602.8921921681365,9155.572323678314,1398.18603515625,89.53148651123047,0.15,2
1650,train,6.400903588565893,602.3891039356621,9085.109673794515,1398.18603515625,93.04367589950562,0.15,2
1700,train,6.39893275243545,601.2030628552484,9019.89610236978,1398.18603515625,96.55454897880554,0.15,2
1750,train,6.397705001874626,600.46538839044,8959.366747585073,1398.18603515625,100.06421494483948,0.15,2
1800,train,6.3965626430140805,599.7798330832043,8902.815905560947,1398.18603515625,103.57531929016113,0.15,2
1850,train,6.394087995985661,598.297424676845,8850.177213395964,1398.18603515625,107.08395743370056,0.15,2
1900,train,6.393356118560903,597.859704496731,8800.487699964779,1398.18603515625,110.59750699996948,0.15,2
1950,train,6.391830666257075,596.9483932907485,8754.159793942987,1398.18603515625,114.10712432861328,0.15,2
2000,train,6.390465921786117,596.1342669351399,8710.831318752484,1398.18603515625,117.61357355117798,0.15,2
