step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.559581756591797,38545.0033803363,3518.7849211339667,1406.50341796875,0.5820190906524658
50,train,6.971168321721694,1065.4668316962745,28706.536495302887,1873.16748046875,3.638474464416504
100,train,6.677872553910359,794.6267868385239,31083.78446916776,1873.91748046875,6.654530763626099
150,train,6.574463863246488,716.5613464745062,31948.559823308038,1873.91748046875,9.67955994606018
200,train,6.5225902244226255,680.3383339928105,32372.714670424997,1873.91748046875,12.715893745422363
250,train,6.486669585999264,656.333855793415,32609.694794442214,1873.91748046875,15.763655662536621
300,train,6.463092921184147,641.0406818837981,32759.974142332547,1873.91748046875,18.817108869552612
350,train,6.44473921267735,629.382520575529,32950.01254140298,1873.91748046875,21.816319465637207
400,train,6.432107744668785,621.4824949022766,33049.1907578078,1873.91748046875,24.84926199913025
450,train,6.4191418645651535,613.4764423064097,33125.34805327618,1874.16748046875,27.88342022895813
500,val,6.300590515136719,544.8935830489078,165998.697354436,1874.16748046875,0.012337446212768555
550,val,6.308572645187378,549.2603995554721,168540.46752186725,1874.16748046875,0.6075692176818848
