step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.56338882446289,38692.02651023733,3382.6750555546587,1415.21240234375,0.6054379940032959
50,train,6.992096339955049,1087.9999048426114,30016.227769055607,1851.80615234375,3.47971773147583
100,train,6.693095070300716,806.8155425229347,32718.93002796926,1852.30615234375,6.321967124938965
150,train,6.585234822026941,724.3211142507737,33685.86228563857,1852.30615234375,9.180349826812744
200,train,6.523108541668944,680.6910564878301,34331.21237575473,1852.30615234375,11.990488290786743
250,train,6.484681765871694,655.0304780139388,34659.292418556215,1852.30615234375,14.831462621688843
300,train,6.461969126894624,640.3206886640538,34865.57084986897,1852.30615234375,17.680708646774292
350,train,6.444394763718304,629.16576775376,35013.034508880766,1852.30615234375,20.53086829185486
400,train,6.43297503535587,622.0217346873128,35161.39682054375,1852.30615234375,23.356523752212524
450,train,6.421627278338515,615.0030814848981,35308.88471859254,1852.30615234375,26.15908169746399
500,val,6.236691474914551,511.16450956237856,173355.42354341992,1852.30615234375,0.011813879013061523
550,val,6.320972461700439,556.1135286911576,169932.8293734792,1852.30615234375,0.6025910377502441
