step,split,loss,ppl,tok_per_s,max_mem_mib,elapsed_s
0,train,10.572975158691406,39064.724759158475,3454.689965155225,1416.14306640625,0.5928173065185547
50,train,7.021961212158203,1120.9829486951378,30794.821180536885,1848.35009765625,3.3917391300201416
100,train,6.707243239525521,818.3116379389623,33347.38313325033,1848.35009765625,6.202825546264648
150,train,6.5946868934378715,731.1999073554532,34304.57842335635,1848.35009765625,9.01477336883545
200,train,6.5331540084003805,687.5633758869259,34786.92457083832,1848.35009765625,11.833411693572998
250,train,6.492914412601061,660.4453714050825,35099.22963388683,1848.35009765625,14.64556360244751
300,train,6.467306316096917,643.7473375320936,35309.96832762171,1848.35009765625,17.458186149597168
350,train,6.44984444729623,632.603881914164,35453.07983630284,1848.35009765625,20.27603816986084
400,train,6.434057953946311,622.695698445542,35588.57218318308,1848.35009765625,23.07617163658142
450,train,6.42297548201026,615.832790079901,35681.307870564786,1848.35009765625,25.886046648025513
500,val,6.192102909088135,488.8730816643535,175911.50277487663,1848.35009765625,0.011642217636108398
550,val,6.333146562576294,562.9250890719509,178021.98436959222,1848.35009765625,0.5752098560333252
